points	occurences	percentage	cdf
2	12195	32.70489165415147	32.70489165415147
3	5204	13.956232568118429	46.6611242222699
4	3121	8.36998498176357	55.03110920403347
5	2302	6.173567903883287	61.20467710791676
6	1728	4.634198669813345	65.83887577773011
7	1265	3.392512336408496	69.23138811413861
8	996	2.6711006221840807	71.9024887363227
9	844	2.2634627762282773	74.16595151255098
10	582	1.5608238575413	75.72677537009227
11	566	1.517914610598584	77.24468998069085
12	555	1.4884145033254665	78.73310448401632
13	411	1.1022312808410213	79.83533576485735
14	335	0.8984123578631195	80.73374812272047
15	404	1.083458485303583	81.81720660802405
16	328	0.8796395623256812	82.69684617034973
17	373	1.0003218193520704	83.6971679897018
18	268	0.7187298862904956	84.41589787599229
19	455	1.2202317099334907	85.63612958592577
20	253	0.6785024672816992	86.31463205320748
21	230	0.6168204248015448	86.93145247800902
22	286	0.7670027891010512	87.69845526711008
23	251	0.6731388114138597	88.37159407852394
24	245	0.6570478438103411	89.02864192233429
25	161	0.4317742973610813	89.46041621969538
26	136	0.3647285990130873	89.82514481870847
27	75	0.20113709504398197	90.02628191375244
28	98	0.26281913752413644	90.28910105127657
29	139	0.3727740828148466	90.66187513409142
30	98	0.26281913752413644	90.92469427161555
31	136	0.3647285990130873	91.28942287062864
32	126	0.33791031967388974	91.62733319030254
33	59	0.15822784810126583	91.7855610384038
34	88	0.23600085818493885	92.02156189658874
35	123	0.32986483587213045	92.35142673246087
36	100	0.268182793391976	92.61960952585284
37	61	0.16359150396910535	92.78320102982194
38	70	0.1877279553743832	92.97092898519632
39	67	0.1796824715726239	93.15061145676894
40	54	0.14481870843166703	93.29543016520061
41	96	0.25745548165629695	93.55288564685691
42	47	0.1260459128942287	93.67893155975113
43	25	0.067045698347994	93.74597725809913
44	60	0.16090967603518558	93.90688693413432
45	71	0.19040978330830294	94.09729671744262
46	50	0.134091396695988	94.23138811413861
47	26	0.06972752628191375	94.30111564042052
48	45	0.12068225702638918	94.42179789744691
49	42	0.11263677322462991	94.53443467067154
50	43	0.11531860115854967	94.6497532718301
51	80	0.21454623471358078	94.86429950654367
52	30	0.08045483801759279	94.94475434456126
53	62	0.1662733319030251	95.11102767646429
54	30	0.08045483801759279	95.19148251448188
55	34	0.09118214975327182	95.28266466423514
56	21	0.056318386612314954	95.33898305084746
57	33	0.08850032181935207	95.42748337266681
58	44	0.11800042909246942	95.54548380175929
59	50	0.134091396695988	95.67957519845528
60	41	0.10995494529071015	95.78953014374599
61	14	0.037545591074876636	95.82707573482087
62	12	0.03218193520703712	95.8592576700279
63	11	0.029500107273117356	95.88875777730102
64	24	0.06436387041407424	95.9531216477151
65	14	0.037545591074876636	95.99066723878997
66	24	0.06436387041407424	96.05503110920404
67	11	0.029500107273117356	96.08453121647716
68	10	0.026818279339197598	96.11134949581636
69	8	0.021454623471358077	96.13280411928771
70	18	0.04827290281055568	96.18107702209826
