points	occurences	percentage	cdf
2	6540	18.34193403634732	18.34193403634732
3	3213	9.01110612519632	27.35304016154364
4	2660	7.4601750056091545	34.81321516715279
5	2400	6.730984967466906	41.5442001346197
6	2127	5.965335427417545	47.50953556203724
7	2039	5.718532645277092	53.22806820731434
8	2079	5.830715728068207	59.05878393538254
9	2015	5.651222795602423	64.71000673098497
10	1908	5.35113304913619	70.06113978012117
11	1668	4.6780345523895	74.73917433251067
12	1631	4.5742652008077185	79.31343953331839
13	1241	3.4804801435943458	82.79391967691274
14	1205	3.3795153690823425	86.17343504599508
15	1000	2.8045770697778774	88.97801211577296
16	721	2.0221000673098497	91.0001121830828
17	496	1.3910702266098272	92.39118240969263
18	456	1.2788871438187122	93.67006955351134
19	476	1.3349786852142698	95.0050482387256
20	455	1.2760825667489342	96.28113080547455
21	534	1.4976441552613866	97.77877496073593
22	104	0.29167601525689923	98.07045097599283
23	40	0.1121830827911151	98.18263405878395
24	38	0.10657392865155935	98.2892079874355
25	33	0.09255104330266996	98.38175903073817
26	45	0.12620596814000448	98.50796499887817
27	29	0.08133273502355845	98.58929773390173
28	25	0.07011442674444694	98.65941216064618
29	29	0.08133273502355845	98.74074489566975
30	40	0.1121830827911151	98.85292797846087
31	17	0.04767781018622392	98.9006057886471
32	16	0.04487323311644604	98.94547902176355
33	15	0.042068656046668165	98.98754767781021
34	6	0.016827462418667265	99.00437514022887
35	17	0.04767781018622392	99.0520529504151
36	10	0.028045770697778773	99.08009872111288
37	6	0.016827462418667265	99.09692618353154
38	2	0.005609154139555755	99.10253533767109
39	7	0.019632039488445142	99.12216737715953
40	11	0.030850347767556654	99.15301772492708
41	9	0.025241193628000896	99.17825891855509
42	10	0.028045770697778773	99.20630468925286
43	9	0.025241193628000896	99.23154588288087
44	1	0.0028045770697778774	99.23435045995065
45	13	0.036459501907112404	99.27080996185776
46	3	0.008413731209333633	99.2792236930671
47	11	0.030850347767556654	99.31007404083465
49	4	0.01121830827911151	99.32129234911376
50	6	0.016827462418667265	99.33811981153242
51	6	0.016827462418667265	99.35494727395108
52	7	0.019632039488445142	99.37457931343953
53	7	0.019632039488445142	99.39421135292797
54	4	0.01121830827911151	99.40542966120708
55	4	0.01121830827911151	99.41664796948619
56	4	0.01121830827911151	99.4278662777653
58	7	0.019632039488445142	99.44749831725375
59	1	0.0028045770697778774	99.45030289432353
60	3	0.008413731209333633	99.45871662553286
62	5	0.014022885348889387	99.47273951088175
63	2	0.005609154139555755	99.4783486650213
64	1	0.0028045770697778774	99.48115324209108
65	2	0.005609154139555755	99.48676239623063
66	2	0.005609154139555755	99.49237155037018
67	3	0.008413731209333633	99.50078528157951
69	2	0.005609154139555755	99.50639443571906
70	2	0.005609154139555755	99.51200358985861
71	3	0.008413731209333633	99.52041732106794
72	2	0.005609154139555755	99.52602647520749
74	2	0.005609154139555755	99.53163562934704
75	1	0.0028045770697778774	99.53444020641682
76	2	0.005609154139555755	99.54004936055637
79	1	0.0028045770697778774	99.54285393762615
80	2	0.005609154139555755	99.5484630917657
81	1	0.0028045770697778774	99.55126766883548
82	1	0.0028045770697778774	99.55407224590526
84	1	0.0028045770697778774	99.55687682297504
91	1	0.0028045770697778774	99.55968140004482
95	2	0.005609154139555755	99.56529055418437
97	1	0.0028045770697778774	99.56809513125415
98	1	0.0028045770697778774	99.57089970832394
100	1	0.0028045770697778774	99.57370428539372
101	1	0.0028045770697778774	99.5765088624635
102	1	0.0028045770697778774	99.57931343953328
105	1	0.0028045770697778774	99.58211801660306
113	2	0.005609154139555755	99.58772717074261
114	1	0.0028045770697778774	99.59053174781239
116	2	0.005609154139555755	99.59614090195194
118	2	0.005609154139555755	99.60175005609149
119	1	0.0028045770697778774	99.60455463316127
125	2	0.005609154139555755	99.61016378730082
129	1	0.0028045770697778774	99.6129683643706
135	1	0.0028045770697778774	99.61577294144038
137	1	0.0028045770697778774	99.61857751851016
138	2	0.005609154139555755	99.62418667264971
140	1	0.0028045770697778774	99.6269912497195
141	1	0.0028045770697778774	99.62979582678928
142	1	0.0028045770697778774	99.63260040385906
144	1	0.0028045770697778774	99.63540498092884
146	1	0.0028045770697778774	99.63820955799862
158	1	0.0028045770697778774	99.6410141350684
159	4	0.01121830827911151	99.65223244334751
160	1	0.0028045770697778774	99.6550370204173
165	2	0.005609154139555755	99.66064617455685
166	1	0.0028045770697778774	99.66345075162663
167	1	0.0028045770697778774	99.66625532869641
168	3	0.008413731209333633	99.67466905990574
169	1	0.0028045770697778774	99.67747363697552
170	2	0.005609154139555755	99.68308279111507
171	1	0.0028045770697778774	99.68588736818485
172	1	0.0028045770697778774	99.68869194525463
174	2	0.005609154139555755	99.69430109939418
175	3	0.008413731209333633	99.70271483060351
177	1	0.0028045770697778774	99.7055194076733
178	1	0.0028045770697778774	99.70832398474307
180	2	0.005609154139555755	99.71393313888262
182	4	0.01121830827911151	99.72515144716174
185	2	0.005609154139555755	99.73076060130128
187	2	0.005609154139555755	99.73636975544083
189	1	0.0028045770697778774	99.73917433251061
191	1	0.0028045770697778774	99.7419789095804
192	2	0.005609154139555755	99.74758806371995
195	2	0.005609154139555755	99.7531972178595
197	2	0.005609154139555755	99.75880637199904
198	3	0.008413731209333633	99.76722010320837
199	2	0.005609154139555755	99.77282925734792
200	2	0.005609154139555755	99.77843841148747
201	1	0.0028045770697778774	99.78124298855725
203	7	0.019632039488445142	99.8008750280457
204	4	0.01121830827911151	99.8120933363248
205	6	0.016827462418667265	99.82892079874347
206	2	0.005609154139555755	99.83452995288302
207	3	0.008413731209333633	99.84294368409235
208	1	0.0028045770697778774	99.84574826116213
209	1	0.0028045770697778774	99.84855283823191
213	1	0.0028045770697778774	99.85135741530169
214	1	0.0028045770697778774	99.85416199237147
218	3	0.008413731209333633	99.8625757235808
219	3	0.008413731209333633	99.87098945479013
220	1	0.0028045770697778774	99.87379403185992
222	3	0.008413731209333633	99.88220776306925
223	2	0.005609154139555755	99.8878169172088
225	4	0.01121830827911151	99.8990352254879
226	10	0.028045770697778773	99.92708099618568
227	3	0.008413731209333633	99.93549472739501
228	1	0.0028045770697778774	99.93829930446479
230	1	0.0028045770697778774	99.94110388153457
232	1	0.0028045770697778774	99.94390845860435
233	3	0.008413731209333633	99.95232218981369
236	3	0.008413731209333633	99.96073592102302
239	4	0.01121830827911151	99.97195422930213
240	1	0.0028045770697778774	99.97475880637191
242	1	0.0028045770697778774	99.97756338344169
244	1	0.0028045770697778774	99.98036796051147
256	1	0.0028045770697778774	99.98317253758125
269	1	0.0028045770697778774	99.98597711465104
271	4	0.01121830827911151	99.99719542293015
274	1	0.0028045770697778774	99.99999999999993
