points	occurences	percentage	cdf
2	677	20.590024330900242	20.590024330900242
3	372	11.313868613138686	31.90389294403893
4	275	8.363746958637469	40.2676399026764
5	203	6.173965936739659	46.441605839416056
6	186	5.656934306569343	52.098540145985396
7	175	5.322384428223844	57.42092457420924
8	210	6.386861313868613	63.80778588807785
9	206	6.265206812652068	70.07299270072993
10	147	4.470802919708029	74.54379562043796
11	104	3.1630170316301705	77.70681265206814
12	86	2.6155717761557176	80.32238442822386
13	83	2.524330900243309	82.84671532846717
14	63	1.916058394160584	84.76277372262776
15	55	1.6727493917274938	86.43552311435525
16	44	1.338199513381995	87.77372262773724
17	50	1.5206812652068127	89.29440389294406
18	44	1.338199513381995	90.63260340632606
19	42	1.2773722627737227	91.90997566909978
20	26	0.7907542579075426	92.70072992700732
21	21	0.6386861313868614	93.33941605839418
22	28	0.851581508515815	94.19099756691
23	22	0.6690997566909975	94.860097323601
24	23	0.6995133819951338	95.55961070559613
25	6	0.18248175182481752	95.74209245742095
26	2	0.06082725060827251	95.80291970802922
27	13	0.3953771289537713	96.19829683698299
28	7	0.21289537712895376	96.41119221411195
29	13	0.3953771289537713	96.80656934306572
30	10	0.30413625304136255	97.11070559610708
31	12	0.36496350364963503	97.47566909975671
32	6	0.18248175182481752	97.65815085158154
33	7	0.21289537712895376	97.8710462287105
34	3	0.09124087591240876	97.9622871046229
35	8	0.24330900243309003	98.205596107056
37	4	0.12165450121654502	98.32725060827254
38	9	0.2737226277372263	98.60097323600976
39	8	0.24330900243309003	98.84428223844286
40	6	0.18248175182481752	99.02676399026768
41	2	0.06082725060827251	99.08759124087595
43	1	0.030413625304136254	99.11800486618009
44	4	0.12165450121654502	99.23965936739663
46	3	0.09124087591240876	99.33090024330903
47	4	0.12165450121654502	99.45255474452557
51	6	0.18248175182481752	99.6350364963504
54	5	0.15206812652068127	99.78710462287107
58	5	0.15206812652068127	99.93917274939174
59	1	0.030413625304136254	99.96958637469588
61	1	0.030413625304136254	100.00000000000001
