points	occurences	percentage	cdf
2	5521	34.912103199696475	34.912103199696475
3	2567	16.23245225749336	51.14455545718984
4	1818	11.496142658403945	62.640698115593786
5	989	6.253952194258252	68.89465030985204
6	678	4.287340331351967	73.18199064120401
7	558	3.5285190337675476	76.71050967497156
8	433	2.7380801821171112	79.44858985708868
9	353	2.2321993170608323	81.68078917414951
10	303	1.9160237764006576	83.59681295055017
11	243	1.5366131276084483	85.13342607815862
12	208	1.315290249146326	86.44871632730495
13	152	0.9611736436069306	87.40988997091188
14	221	1.3974958897179715	88.80738586062985
15	126	0.7967623624636399	89.60414822309349
16	162	1.0244087517389655	90.62855697483245
17	74	0.46793980017705833	91.09649677500951
18	183	1.1572024788162387	92.25369925382576
19	68	0.4299987352978374	92.6836979891236
20	133	0.8410269381560642	93.52472492727966
21	107	0.6766156570127735	94.20134058429244
22	67	0.42367522448463385	94.62501580877708
23	73	0.4616162893638548	95.08663209814094
24	47	0.29720500822056406	95.3838371063615
25	30	0.1897053243961047	95.5735424307576
26	120	0.7588212975844189	96.33236372834202
27	61	0.3857341596054129	96.71809788794744
28	16	0.10117617301125585	96.81927406095869
29	24	0.15176425951688377	96.97103832047557
30	57	0.360440116352599	97.33147843682816
31	24	0.15176425951688377	97.48324269634504
32	28	0.17705830276969772	97.66030099911474
33	9	0.056911597318831414	97.71721259643357
34	32	0.2023523460225117	97.91956494245608
35	12	0.07588212975844189	97.99544707221452
36	12	0.07588212975844189	98.07132920197296
37	27	0.17073479195649424	98.24206399392945
38	5	0.031617554066017454	98.27368154799547
39	17	0.10749968382445935	98.38118123181992
40	27	0.17073479195649424	98.55191602377641
41	12	0.07588212975844189	98.62779815353485
42	10	0.06323510813203491	98.69103326166689
43	2	0.012647021626406981	98.7036802832933
44	4	0.025294043252813963	98.72897432654611
45	14	0.08852915138484886	98.81750347793096
46	15	0.09485266219805236	98.912356140129
47	18	0.11382319463766283	99.02617933476667
48	13	0.08220564057164538	99.10838497533831
49	10	0.06323510813203491	99.17162008347034
50	2	0.012647021626406981	99.18426710509675
51	6	0.03794106487922094	99.22220816997597
52	20	0.12647021626406982	99.34867838624004
53	6	0.03794106487922094	99.38661945111926
54	4	0.025294043252813963	99.41191349437207
55	12	0.07588212975844189	99.48779562413051
56	3	0.01897053243961047	99.50676615657012
57	1	0.006323510813203491	99.51308966738333
58	3	0.01897053243961047	99.53206019982294
59	1	0.006323510813203491	99.53838371063614
60	3	0.01897053243961047	99.55735424307575
61	1	0.006323510813203491	99.56367775388895
62	3	0.01897053243961047	99.58264828632856
63	3	0.01897053243961047	99.60161881876817
64	4	0.025294043252813963	99.62691286202099
65	2	0.012647021626406981	99.6395598836474
66	5	0.031617554066017454	99.67117743771341
67	2	0.012647021626406981	99.68382445933982
68	1	0.006323510813203491	99.69014797015302
69	1	0.006323510813203491	99.69647148096622
70	1	0.006323510813203491	99.70279499177943
71	1	0.006323510813203491	99.70911850259263
72	1	0.006323510813203491	99.71544201340583
73	1	0.006323510813203491	99.72176552421904
74	1	0.006323510813203491	99.72808903503224
75	1	0.006323510813203491	99.73441254584544
76	1	0.006323510813203491	99.74073605665865
79	2	0.012647021626406981	99.75338307828505
81	1	0.006323510813203491	99.75970658909826
88	1	0.006323510813203491	99.76603009991146
91	4	0.025294043252813963	99.79132414316427
98	1	0.006323510813203491	99.79764765397748
100	10	0.06323510813203491	99.86088276210951
101	4	0.025294043252813963	99.88617680536233
102	4	0.025294043252813963	99.91147084861514
103	3	0.01897053243961047	99.93044138105475
104	4	0.025294043252813963	99.95573542430756
106	3	0.01897053243961047	99.97470595674717
111	4	0.025294043252813963	99.99999999999999
