points	occurences	percentage	cdf
2	12700	58.39080459770115	58.39080459770115
3	2996	13.77471264367816	72.1655172413793
4	1375	6.32183908045977	78.48735632183907
5	822	3.779310344827586	82.26666666666667
6	588	2.703448275862069	84.97011494252874
7	456	2.0965517241379312	87.06666666666666
8	348	1.6	88.66666666666666
9	249	1.1448275862068966	89.81149425287356
10	105	0.4827586206896552	90.29425287356321
11	97	0.4459770114942529	90.74022988505746
12	99	0.45517241379310347	91.19540229885057
13	115	0.5287356321839081	91.72413793103448
14	117	0.5379310344827586	92.26206896551723
15	65	0.2988505747126437	92.56091954022988
16	108	0.496551724137931	93.0574712643678
17	66	0.30344827586206896	93.36091954022987
18	112	0.5149425287356322	93.8758620689655
19	78	0.3586206896551724	94.23448275862067
20	69	0.31724137931034485	94.55172413793102
21	65	0.2988505747126437	94.85057471264366
22	48	0.2206896551724138	95.07126436781607
23	49	0.22528735632183908	95.29655172413791
24	26	0.11954022988505747	95.41609195402297
25	14	0.06436781609195402	95.48045977011493
26	25	0.11494252873563218	95.59540229885056
27	28	0.12873563218390804	95.72413793103446
28	20	0.09195402298850575	95.81609195402297
29	15	0.06896551724137931	95.88505747126435
30	18	0.08275862068965517	95.967816091954
31	15	0.06896551724137931	96.03678160919539
32	14	0.06436781609195402	96.10114942528735
33	14	0.06436781609195402	96.1655172413793
34	12	0.05517241379310345	96.22068965517241
35	12	0.05517241379310345	96.27586206896551
36	24	0.1103448275862069	96.38620689655171
37	14	0.06436781609195402	96.45057471264367
38	24	0.1103448275862069	96.56091954022988
39	10	0.04597701149425287	96.60689655172413
40	24	0.1103448275862069	96.71724137931034
41	31	0.1425287356321839	96.85977011494252
42	21	0.09655172413793103	96.95632183908045
43	32	0.1471264367816092	97.10344827586205
44	21	0.09655172413793103	97.19999999999997
45	16	0.0735632183908046	97.27356321839078
46	36	0.16551724137931034	97.43908045977008
47	39	0.1793103448275862	97.61839080459767
48	26	0.11954022988505747	97.73793103448273
49	24	0.1103448275862069	97.84827586206893
50	16	0.0735632183908046	97.92183908045973
51	12	0.05517241379310345	97.97701149425284
52	19	0.08735632183908046	98.06436781609192
53	17	0.07816091954022988	98.14252873563214
54	7	0.03218390804597701	98.17471264367812
55	7	0.03218390804597701	98.2068965517241
56	5	0.022988505747126436	98.22988505747122
57	11	0.05057471264367816	98.2804597701149
58	7	0.03218390804597701	98.31264367816088
59	1	0.004597701149425287	98.3172413793103
60	5	0.022988505747126436	98.34022988505743
61	1	0.004597701149425287	98.34482758620685
62	6	0.027586206896551724	98.3724137931034
63	10	0.04597701149425287	98.41839080459766
64	6	0.027586206896551724	98.44597701149422
65	4	0.01839080459770115	98.46436781609192
66	5	0.022988505747126436	98.48735632183904
67	3	0.013793103448275862	98.50114942528732
68	6	0.027586206896551724	98.52873563218388
69	2	0.009195402298850575	98.53793103448274
70	13	0.059770114942528735	98.59770114942526
71	8	0.0367816091954023	98.63448275862066
72	8	0.0367816091954023	98.67126436781606
73	6	0.027586206896551724	98.69885057471262
74	3	0.013793103448275862	98.7126436781609
75	8	0.0367816091954023	98.7494252873563
76	9	0.041379310344827586	98.79080459770113
77	13	0.059770114942528735	98.85057471264365
78	7	0.03218390804597701	98.88275862068963
79	7	0.03218390804597701	98.91494252873561
80	7	0.03218390804597701	98.94712643678159
81	16	0.0735632183908046	99.02068965517239
82	8	0.0367816091954023	99.05747126436779
83	10	0.04597701149425287	99.10344827586205
