points	occurences	percentage	cdf
2	9557	41.532310634044585	41.532310634044585
3	3613	15.701186389118249	57.23349702316283
4	2018	8.769718830124724	66.00321585328756
5	1457	6.3317543783407935	72.33497023162835
6	900	3.9111729173004215	76.24614314892877
7	647	2.8116987527704143	79.05784190169918
8	492	2.1381078614575637	81.19594976315675
9	490	2.129416366085785	83.32536612924254
10	414	1.799139541958194	85.12450567120074
11	291	1.264612576593803	86.38911824779454
12	255	1.1081656599017862	87.49728390769633
13	262	1.1385858937030116	88.63586980139934
14	213	0.9256442570944331	89.56151405849377
15	251	1.0907826691582287	90.652296727652
16	226	0.9821389770109947	91.63443570466299
17	117	0.5084524792490548	92.14288818391205
18	171	0.7431228542870801	92.88601103819913
19	133	0.5779844422232845	93.46399548042241
20	107	0.4649950023901612	93.92899048281258
21	124	0.5388727130502803	94.46786319586286
22	61	0.2650906088392508	94.7329538047021
23	115	0.4997609838772761	95.23271478857939
24	64	0.27812785189691885	95.51084264047631
25	36	0.15644691669201685	95.66728955716833
26	104	0.45195775933249316	96.11924731650082
27	53	0.23032462735213594	96.34957194385295
28	63	0.2737821042110295	96.62335404806397
29	35	0.1521011690061275	96.7754552170701
30	53	0.23032462735213594	97.00577984442224
31	9	0.03911172917300421	97.04489157359524
32	29	0.12602668289079136	97.17091825648603
33	16	0.06953196297422971	97.24045021946026
34	24	0.10429794446134458	97.34474816392161
35	29	0.12602668289079136	97.4707748468124
36	19	0.08256920603189778	97.5533440528443
37	10	0.04345747685889357	97.59680152970319
38	48	0.20859588892268915	97.80539741862587
39	18	0.07822345834600843	97.88362087697188
40	14	0.060840467602451	97.94446134457432
41	49	0.2129416366085785	98.1574029811829
42	9	0.03911172917300421	98.1965147103559
43	9	0.03911172917300421	98.2356264395289
44	11	0.04780322454478293	98.28342966407368
45	18	0.07822345834600843	98.36165312241968
46	36	0.15644691669201685	98.5181000391117
47	20	0.08691495371778714	98.60501499282948
48	15	0.06518621528834036	98.67020120811782
49	8	0.03476598148711486	98.70496718960493
50	16	0.06953196297422971	98.77449915257915
51	3	0.013037243057668072	98.78753639563682
52	22	0.09560644908956586	98.8831428447264
53	3	0.013037243057668072	98.89618008778406
54	5	0.021728738429446785	98.9179088262135
55	20	0.08691495371778714	99.00482377993129
56	7	0.0304202338012255	99.03524401373251
57	6	0.026074486115336144	99.06131849984784
58	3	0.013037243057668072	99.07435574290551
59	5	0.021728738429446785	99.09608448133496
60	37	0.1607926643779062	99.25687714571286
61	7	0.0304202338012255	99.28729737951409
63	6	0.026074486115336144	99.31337186562942
64	17	0.07387771066011907	99.38724957628953
65	9	0.03911172917300421	99.42636130546254
66	3	0.013037243057668072	99.4393985485202
67	2	0.008691495371778714	99.44809004389198
68	3	0.013037243057668072	99.46112728694965
69	6	0.026074486115336144	99.48720177306498
70	3	0.013037243057668072	99.50023901612265
71	1	0.004345747685889357	99.50458476380854
72	5	0.021728738429446785	99.52631350223798
73	17	0.07387771066011907	99.6001912128981
74	11	0.04780322454478293	99.64799443744288
75	13	0.056494719916561645	99.70448915735943
76	2	0.008691495371778714	99.71318065273121
77	11	0.04780322454478293	99.76098387727599
78	17	0.07387771066011907	99.8348615879361
79	9	0.03911172917300421	99.8739733171091
80	9	0.03911172917300421	99.9130850462821
81	8	0.03476598148711486	99.94785102776922
82	6	0.026074486115336144	99.97392551388455
85	6	0.026074486115336144	99.99999999999989
